For each of the constructors in the 2023 F1 season, which circuit througout history have they performed best at?
Constructor Name           Circuit Name
Alfa Romeo     ---->    Circuit Bremgarten
AlphaTauri     ---->    Baku City Circuit
Alpine F1 Team     ---->    Hungaroring
Aston Martin     ---->    Baku City Circuit
Ferrari     ---->    Autodromo Nazionale di Monza
Haas F1 Team     ---->    Red Bull Ring
McLaren     ---->    Silverstone Circuit
Mercedes     ---->    Silverstone Circuit
Red Bull     ---->    Circuit de Monaco
Williams     ---->    Autodromo Nazionale di Monza
